manager=angioletto33-26bf317c-4d50-431d-90f7-8b6fc37a9bbc  gw=football-21-24-jul-2026  competizione=Under 23 – Limited
  guilherme-augusto-vieira-dos-santos FWD  grade=None delta=0.3176923076923077 livello=0.29000000000000004 atteso_raw=65.70
  anders-dreyer                  FWD  grade=6 delta=-0.32500625 livello=-0.21999999999999997 atteso_raw=64.59
  mika-marcel-godts              FWD  grade=6 delta=0.25963333333333327 livello=0.42999999999999994 atteso_raw=61.68
  muhammed-kerem-akturkoglu      FWD  grade=5 delta=0.3325000000000001 livello=0.7000000000000001 atteso_raw=60.54
  zavier-gozo                    FWD  grade=4 delta=-0.41785000000000005 livello=-0.32000000000000006 atteso_raw=57.06
  german-berterame               FWD  grade=None delta=-0.23285714285714282 livello=0.040000000000000036 atteso_raw=56.47
  miguel-angel-almiron-rejala    FWD  grade=4 delta=-0.02250000000000002 livello=-0.15000000000000002 atteso_raw=56.43
  ahoueke-denkey                 FWD  grade=4 delta=-0.22285714285714286 livello=-0.24 atteso_raw=56.39
  cristian-david-pavon           FWD  grade=None delta=-0.39313124999999993 livello=-0.42999999999999994 atteso_raw=56.29
  heung-min-son                  FWD  grade=6 delta=0.07616923076923088 livello=0.32000000000000006 atteso_raw=56.17
  jesus-ferreira                 FWD  grade=5 delta=-0.19596999999999998 livello=0.07999999999999996 atteso_raw=55.28
  luca-daniel-langoni            FWD  grade=1 delta=0.3077777777777779 livello=0.33000000000000007 atteso_raw=55.13
  sam-surridge                   FWD  grade=4 delta=0.14801999999999998 livello=0.48 atteso_raw=54.53
  julian-hall-2008-03-24         FWD  grade=3 delta=-0.32000000000000006 livello=-0.31000000000000005 atteso_raw=54.18
  dejan-joveljic                 FWD  grade=4 delta=0.26732666666666666 livello=-0.13 atteso_raw=52.88
  kaio-jorge-pinto-ramos         FWD  grade=3 delta=-0.3076923076923077 livello=-0.09000000000000002 atteso_raw=51.43
  idan-toklomati-jorno           FWD  grade=1 delta=0.12000000000000002 livello=0.15000000000000002 atteso_raw=51.18
  louis-munteanu                 FWD  grade=None delta=-0.25835 livello=-0.29000000000000004 atteso_raw=50.99
  yuri-alberto-monteiro-da-silva FWD  grade=None delta=0.4511764705882353 livello=0.49 atteso_raw=47.78
  adson-ferreira-soares          FWD  grade=4 delta=None livello=-0.03999999999999998 atteso_raw=47.62
  carlos-miguel-dos-santos-pereira GK   grade=6 delta=-0.057499999999999996 livello=0.19 atteso_raw=53.82
  andrew-thomas-1998-09-01       GK   grade=6 delta=-0.1421214285714286 livello=0.07999999999999996 atteso_raw=53.79
  rafael-pires-monteiro          GK   grade=6 delta=0.19454545454545452 livello=0.22999999999999998 atteso_raw=52.61
  brad-stuver                    GK   grade=5 delta=0.06266000000000002 livello=-0.07999999999999996 atteso_raw=50.80
  matt-turner                    GK   grade=5 delta=0.41461538461538466 livello=0.33000000000000007 atteso_raw=50.71
  patrick-schulte                GK   grade=4 delta=0.041340000000000016 livello=0.24 atteso_raw=50.55
  james-pantemis                 GK   grade=5 delta=0.31599999999999995 livello=0.07999999999999996 atteso_raw=50.24
  christopher-brady              GK   grade=5 delta=-0.24141428571428575 livello=-0.040000000000000036 atteso_raw=48.35
  sean-johnson                   GK   grade=5 delta=-0.14801333333333336 livello=-0.29000000000000004 atteso_raw=47.83
  daniel-de-sousa-brito          GK   grade=4 delta=None livello=None atteso_raw=47.78
  drake-callender                GK   grade=5 delta=0.18066 livello=0.13 atteso_raw=46.40
  ethan-horvath                  GK   grade=3 delta=-0.2871428571428572 livello=-0.31000000000000005 atteso_raw=45.85
  jeremias-ledesma               GK   grade=5 delta=-0.2786666666666666 livello=-0.09999999999999998 atteso_raw=45.49
  stefan-cleveland               GK   grade=None delta=0.2366666666666667 livello=-0.13 atteso_raw=45.18
  evander-da-silva-ferreira      MID  grade=6 delta=-0.18846153846153846 livello=-0.24 atteso_raw=68.38
  hany-mukhtar                   MID  grade=4 delta=0.21418333333333334 livello=0.48 atteso_raw=61.41
  pep-biel-mas-jaume             MID  grade=4 delta=0.15214285714285716 livello=0.15000000000000002 atteso_raw=59.09
  philip-billing                 MID  grade=5 delta=-0.24165833333333334 livello=-0.06 atteso_raw=58.71
  samuel-dias-lino               MID  grade=5 delta=0.20682307692307694 livello=0.5899 atteso_raw=58.34
  eduard-lowen                   MID  grade=6 delta=None livello=-0.13 atteso_raw=57.61
  marco-reus                     MID  grade=5 delta=0.13416666666666668 livello=0.13 atteso_raw=57.43
  onni-valakari                  MID  grade=4 delta=-0.3205941176470588 livello=-0.21999999999999997 atteso_raw=57.04
  miguel-angel-almiron-rejala    MID  grade=4 delta=-0.02250000000000002 livello=-0.15000000000000002 atteso_raw=56.78
  albert-rusnak                  MID  grade=5 delta=-0.14442222222222226 livello=0.07999999999999996 atteso_raw=55.79
  agustin-palavecino             MID  grade=1 delta=0.29989999999999994 livello=0.5599 atteso_raw=55.65
  agustin-palavecino             MID  grade=1 delta=0.29989999999999994 livello=0.5599 atteso_raw=55.65
  oberdan-alionco-de-lima        MID  grade=5 delta=-0.0050000000000000044 livello=0.21999999999999997 atteso_raw=55.54
  jorge-ruvalcaba                MID  grade=None delta=-0.30500000000000005 livello=-0.31000000000000005 atteso_raw=54.58
  angel-jeremy-marquez-castaneda MID  grade=4 delta=0.38808181818181814 livello=0.5599 atteso_raw=54.38
  aleksey-miranchuk              MID  grade=5 delta=-0.08083333333333335 livello=-0.15000000000000002 atteso_raw=53.73
  alhassan-yusuf                 MID  grade=4 delta=0.38700000000000007 livello=0.33000000000000007 atteso_raw=53.23
  andreas-hoelgebaum-pereira     MID  grade=4 delta=-0.03722222222222221 livello=0.19 atteso_raw=52.45
  juan-manuel-sanabria-magole    MID  grade=None delta=-0.39199000000000006 livello=-0.32000000000000006 atteso_raw=51.71
  hector-miguel-herrera-lopez    MID  grade=3 delta=0.38000000000000006 livello=0.29000000000000004 atteso_raw=51.08
  ramon-sosa-acosta              MID  grade=None delta=0.06444444444444447 livello=0.19 atteso_raw=50.39
  taha-habroune                  MID  grade=3 delta=0.023645454545454525 livello=0.24 atteso_raw=50.28
  gerson-santos-da-silva         MID  grade=3 delta=-0.26874375000000006 livello=-0.09000000000000002 atteso_raw=48.48
  gerson-santos-da-silva         MID  grade=3 delta=-0.26874375000000006 livello=-0.09000000000000002 atteso_raw=48.48
  diego-luna-2003-09-07          MID  grade=4 delta=-0.5883333333333334 livello=-0.32000000000000006 atteso_raw=48.41
  alvaro-barreal                 MID  grade=None delta=0.1657142857142857 livello=0.26 atteso_raw=48.10
  matthew-james-corcoran         MID  grade=3 delta=0.2700111111111111 livello=0.48 atteso_raw=47.80
  joshua-atencio                 MID  grade=None delta=0.3814142857142857 livello=0.21999999999999997 atteso_raw=45.48
  adson-ferreira-soares          MID  grade=4 delta=None livello=-0.03999999999999998 atteso_raw=45.04
  brooklyn-raines                MID  grade=None delta=0.41461538461538466 livello=0.33000000000000007 atteso_raw=43.78
  gerardo-valenzuela             MID  grade=None delta=-0.28444444444444444 livello=-0.24 atteso_raw=43.56
  herman-johansson               MID  grade=None delta=-0.04545454545454542 livello=-0.07999999999999996 atteso_raw=41.69

FORMAZIONI SCELTE (A / G / G+D_z / G+L_z)
  A      carte=['carlos-miguel-dos-santos-pereira', 'kai-wagner', 'nouhou-tolo', 'evander-da-silva-ferreira', 'hany-mukhtar', 'guilherme-augusto-vieira-dos-santos', 'anders-dreyer'] realizzato_capitanato=470.94
  G      carte=['andrew-thomas-1998-09-01', 'kai-wagner', 'nouhou-tolo', 'evander-da-silva-ferreira', 'eduard-lowen', 'anders-dreyer', 'guilherme-augusto-vieira-dos-santos'] realizzato_capitanato=428.74
  G+D_z  carte=['andrew-thomas-1998-09-01', 'gabriel-armando-de-abreu', 'kai-wagner', 'eduard-lowen', 'evander-da-silva-ferreira', 'anders-dreyer', 'xavier-ricardo-arreaga-bermello'] realizzato_capitanato=414.12
  G+L_z  carte=['andrew-thomas-1998-09-01', 'kai-wagner', 'gabriel-armando-de-abreu', 'samuel-dias-lino', 'hany-mukhtar', 'anders-dreyer', 'milan-skriniar'] realizzato_capitanato=391.38
